VD05,270
ADLL,6
HSNL,113
SIBDR,215
CEPVR,85
PHCR,144
AIYR,19
CEPVL,84
RMDR,188
HSNR,114
VA07,244
AIYL,18
VC05,265
ASKR,50
RMFR,196
AWCR,77
AVAR,54
RIS,182
VD10,275
DA06,91
RICR,170
AVAL,53
AWCL,76
AS11,38
AS10,37
ASKL,49
RID,171
VB02,251
VA06,243
VC02,262
CEPDL,82
VC04,264
URYVL,236
PVQL,159
FLPR,112
AVJR,67
URYDR,235
IL2VR,126
IL2VL,125
URYDL,234
FLPL,111
AVJL,66
URBR,231
CEPDR,83
VB04,253
AVBR,56
VB06,255
VB07,256
VD13,278
VA04,241
ASJL,47
VB03,252
ALML,23
PVQR,160
AWBR,75
IL2L,123
RMHR,200
AWBL,74
IL2R,124
ALMR,24
ASJR,48
VD06,271
RMDL,187
AVBL,55
ASER,40
URXR,233
RMGL,197
SMDDL,222
SMDVL,224
URXL,232
ASEL,39
BDUR,81
VA10,247
VA11,248
VA12,249
ALNL,25
VD09,274
RMDDR,186
PLNL,147
VB10,259
ADAR,1
PHAL,139
RIVL,183
ADLR,7
PDEL,137
VB08,257
SMDDR,223
ADAL,0
IL1VR,120
PLNR,148
PVDR,153
RMFL,195
SABD,205
ALNR,26
AUAL,51
RIMR,178
RMER,193
AIAR,11
RMEV,194
VB09,258
RIGR,175
RMEL,192
AIAL,10
VA09,246
VA08,245
RIML,177
LUAL,127
VA05,242
PVWR,164
RMED,191
VA02,239
VA01,238
AUAR,52
PVNR,156
PLML,145
RICL,169
AINR,17
PVWL,163
SIBVL,216
SAADR,202
SIADL,210
AVHL,64
ADFR,5
AVL,70
AVM,71
AVHR,65
SAADL,201
SIBVR,217
AINL,16
DB03,97
AVG,63
DB06,100
DB07,101
DB04,98
DB05,99
SIBDL,214
IL1DL,115
RIBR,168
OLLL,129
RIBL,167
RIR,181
IL1R,118
DVA,108
SMBDR,219
DVC,110
DVB,109
VD02,267
RMDDL,185
SMBDL,218
IL1L,117
VD07,272
VD04,269
RIVR,184
VD08,273
OLLR,130
IL1DR,116
OLQDR,132
PVR,161
PVT,162
AVEL,59
RIFR,173
VA03,240
IL2DL,121
ASGL,41
AIMR,15
AIML,14
ASGR,42
IL2DR,122
OLQVL,133
AVER,60
RIFL,172
PVM,154
OLQDL,131
LUAR,128
URADL,226
RIH,176
VD03,268
SMDVR,225
URYVR,237
URAVR,229
VD11,276
PDB,136
PDA,135
VD12,277
BAGR,79
AVFL,61
SDQR,209
PQR,149
RIGL,174
VB05,254
AFDL,8
PVDL,152
ALA,22
DA01,86
BDUL,80
DA03,88
DA02,87
DA05,90
DA04,89
DA07,92
AFDR,9
DA09,94
DA08,93
SDQL,208
AVFR,62
BAGL,78
URADR,227
AIBR,13
PVCR,151
VD01,266
AVKR,69
OLQVR,134
RMDVR,190
RIPL,179
RIPR,180
RMDVL,189
AVKL,68
PHAR,140
PVCL,150
AIBL,12
URAVL,228
AWAR,73
ASIL,45
ADER,3
AQR,27
URBL,230
PVPL,157
SABVR,207
PVPR,158
SABVL,206
SIADR,211
SMBVR,221
RIAL,165
PHCL,143
ADEL,2
RMGR,198
PDER,138
ASIR,46
AWAL,72
AIZL,20
PHBL,141
DD04,105
DD05,106
DD06,107
ADFL,4
DD01,102
DD02,103
DD03,104
SMBVL,220
DB02,96
RMHL,199
SAAVL,203
IL1VL,119
AIZR,21
VB01,250
ASHL,43
SAAVR,204
RIAR,166
DB01,95
VB11,260
SIAVL,212
AVDR,58
PHBR,142
PVNL,155
VC01,261
VC03,263
PLMR,146
AS04,31
AS05,32
AS06,33
AS07,34
AS01,28
AS02,29
AS03,30
SIAVR,213
AVDL,57
AS08,35
AS09,36
ASHR,44
