Neuron,Landmark,Landmark Position,Weight
IL1R,Sensory,0,1
IL2L,Sensory,0,1
IL2R,Sensory,0,1
IL1L,Sensory,0,1
IL2VL,Sensory,0,1
URYVR,Sensory,0,1
URYVL,Sensory,0,1
URYDR,Sensory,0,1
URYDL,Sensory,0,1
URXR,Sensory,0,1
URXL,Sensory,0,1
FLPR,Sensory,0,1
IL2VR,Sensory,0,1
IL2DR,Sensory,0,1
IL2DL,Sensory,0,1
IL1VR,Sensory,0,1
IL1VL,Sensory,0,1
IL1DR,Sensory,0,1
IL1DL,Sensory,0,1
FLPL,Sensory,0,1
URAVR,Sensory,0,1
URADL,Sensory,0,1
URADR,Sensory,0,1
URAVL,Sensory,0,1
ASIR,Sensory,0,1
AFDR,Sensory,0,1
AFDL,Sensory,0,1
ADLR,Sensory,0,1
ADLL,Sensory,0,1
ADFR,Sensory,0,1
ADFL,Sensory,0,1
ASKR,Sensory,0,1
ASKL,Sensory,0,1
ASJL,Sensory,0,1
ASIL,Sensory,0,1
ASHR,Sensory,0,1
ASHL,Sensory,0,1
ASGR,Sensory,0,1
ASGL,Sensory,0,1
ASER,Sensory,0,1
ASEL,Sensory,0,1
ASJR,Sensory,0,1
URBR,Sensory,0,1
URBL,Sensory,0,1
BAGL,Sensory,0,1
BAGR,Sensory,0,1
OLLL,Sensory,0.01,1
OLLR,Sensory,0.01,1
OLQDL,Sensory,0.01,1
OLQDR,Sensory,0.01,1
OLQVL,Sensory,0.01,1
OLQVR,Sensory,0.01,1
CEPDL,Sensory,0.01,1
CEPVR,Sensory,0.01,1
CEPDR,Sensory,0.01,1
CEPVL,Sensory,0.01,1
AWAL,Sensory,0.01,1
AWAR,Sensory,0.01,1
AWBL,Sensory,0.01,1
AWBR,Sensory,0.01,1
AWCL,Sensory,0.01,1
AWCR,Sensory,0.01,1
ADER,Sensory,0.13,1
ADEL,Sensory,0.13,1
AQR,Sensory,0.14,1
AVM,SensoryNB,0.19,1
ALML,SensoryNB,0.25,1
ALMR,SensoryNB,0.25,1
PVM,SensoryNB,0.47,1
PDEL,Sensory,0.68,1
PDER,Sensory,0.68,1
PLML,SensoryNB,0.71,1
PLMR,SensoryNB,0.71,1
PHAR,Sensory,0.95,1
PHBL,Sensory,0.95,1
PHAL,Sensory,0.95,1
PHBR,Sensory,0.95,1
PQR,Sensory,0.95,1
ALNR,Sensory,1,1
PLNL,Sensory,1,1
PLNR,Sensory,1,1
PHCL,Sensory,1,1
PHCR,Sensory,1,1
PVR,Sensory,1,1
AVG,SensoryNB,1,1
ALNL,Sensory,1,1
ADEL,MDL05,0.15,1
AS01,MDL05,0.15,3.25
AS01,MDR05,0.15,3.25
AS01,MDL08,0.16,3.25
AS01,MDR08,0.18,3.25
AS02,MDL08,0.16,2.75
AS02,MDR08,0.18,2.75
AS02,MDL07,0.21,2.75
AS02,MDR07,0.21,2.75
AS03,MDL10,0.25,3
AS03,MDR10,0.25,3
AS03,MDL09,0.29,3
AS03,MDR09,0.29,3
AS04,MDL12,0.33,2.25
AS04,MDR12,0.33,2.25
AS04,MDL11,0.38,2.25
AS04,MDR11,0.38,2.25
AS05,MDL11,0.38,2.5
AS05,MDR11,0.38,2.5
AS05,MDL14,0.42,2.5
AS05,MDR14,0.42,2.5
AS06,MDL14,0.42,2.5
AS06,MDR14,0.42,2.5
AS06,MDL13,0.47,2.5
AS06,MDR13,0.47,2.5
AS07,MDL13,0.47,2.708333333
AS07,MDR13,0.47,2.708333333
AS07,MDL16,0.51,2.708333333
AS07,MDR16,0.51,2.708333333
AS08,MDL15,0.55,2.708333333
AS08,MDR15,0.55,2.708333333
AS08,MDL18,0.6,2.708333333
AS08,MDR18,0.6,2.708333333
AS09,MDL20,0.68,2.708333333
AS09,MDR20,0.68,2.708333333
AS09,MDL17,0.64,2.708333333
AS09,MDR17,0.64,2.708333333
AS10,MDL20,0.68,2.708333333
AS10,MDR20,0.68,2.708333333
AS10,MDL19,0.72,2.708333333
AS10,MDR19,0.72,2.708333333
AS11,MDL22,0.79,2.708333333
AS11,MDR22,0.79,2.708333333
AS11,MDL21,0.8,2.708333333
AS11,MDR21,0.8,2.708333333
AVFL,MVL12,0.29,1
AVFL,MVL11,0.35,1
AVFR,MVL14,0.39,2
AVFR,MVR14,0.39,2
AVKR,MVL10,0.22,2
AVL,MVL10,0.22,5
AVL,MVR10,0.22,5
CEPVL,MVL03,0.1,1
CEPVR,MVR04,0.08,1
DA01,MDL08,0.16,8
DA01,MDR08,0.18,8
DA02,MDL08,0.16,1.875
DA02,MDR08,0.18,1.875
DA02,MDL07,0.21,1.875
DA02,MDR07,0.21,1.875
DA02,MDL10,0.25,1.875
DA02,MDR10,0.25,1.875
DA02,MDL09,0.29,1.875
DA02,MDR09,0.29,1.875
DA03,MDL10,0.25,5
DA03,MDR10,0.25,5
DA03,MDL09,0.29,5
DA03,MDR09,0.29,5
DA03,MDL12,0.33,5
DA03,MDR12,0.33,5
DA04,MDL12,0.33,4.333333333
DA04,MDR12,0.33,4.333333333
DA04,MDL11,0.38,4.333333333
DA04,MDR11,0.38,4.333333333
DA04,MDL14,0.42,4.333333333
DA04,MDR14,0.42,4.333333333
DA05,MDL14,0.42,4.25
DA05,MDR14,0.42,4.25
DA05,MDL13,0.47,4.25
DA05,MDR13,0.47,4.25
DA06,MDL12,0.33,4
DA06,MDR12,0.33,4
DA06,MDL11,0.38,4
DA06,MDR11,0.38,4
DA06,MDL14,0.42,4
DA06,MDR14,0.42,4
DA06,MDL13,0.47,4
DA06,MDR13,0.47,4
DA06,MDL16,0.51,4
DA06,MDR16,0.51,4
DA07,MDL15,0.55,4
DA07,MDR15,0.55,4
DA07,MDL18,0.6,4
DA07,MDR18,0.6,4
DA07,MDL17,0.64,4
DA07,MDR17,0.64,4
DA08,MDL20,0.68,4
DA08,MDR20,0.68,4
DA08,MDL19,0.72,4
DA08,MDR19,0.72,4
DA08,MDL17,0.64,4
DA08,MDR17,0.64,4
DA09,MDL21,0.8,4
DA09,MDR21,0.8,4
DA09,MDL19,0.72,4
DA09,MDR19,0.72,4
DA09,MDL22,0.79,4
DA09,MDR22,0.79,4
DB01,MDL08,0.16,0.75
DB01,MDR08,0.18,0.75
DB01,MDL07,0.21,0.75
DB01,MDR07,0.21,0.75
DB02,MDL10,0.25,3
DB02,MDR10,0.25,3
DB02,MDL09,0.29,3
DB02,MDR09,0.29,3
DB02,MDL12,0.33,3
DB02,MDR12,0.33,3
DB02,MDL11,0.38,3
DB02,MDR11,0.38,3
DB03,MDL12,0.33,3.125
DB03,MDR12,0.33,3.125
DB03,MDL11,0.38,3.125
DB03,MDR11,0.38,3.125
DB03,MDL14,0.42,3.125
DB03,MDR14,0.42,3.125
DB03,MDL13,0.47,3.125
DB03,MDR13,0.47,3.125
DB04,MDL14,0.42,2.6
DB04,MDR14,0.42,2.6
DB04,MDL13,0.47,2.6
DB04,MDR13,0.47,2.6
DB04,MDL16,0.51,2.6
DB04,MDR16,0.51,2.6
DB05,MDL15,0.55,2.6
DB05,MDR15,0.55,2.6
DB05,MDL18,0.6,2.6
DB05,MDR18,0.6,2.6
DB05,MDL17,0.64,2.6
DB05,MDR17,0.64,2.6
DB06,MDL17,0.64,2.6
DB06,MDR17,0.64,2.6
DB06,MDL20,0.68,2.6
DB06,MDR20,0.68,2.6
DB06,MDL19,0.72,2.6
DB06,MDR19,0.72,2.6
DB07,MDL22,0.79,2.6
DB07,MDR22,0.79,2.6
DB07,MDL21,0.8,2.6
DB07,MDR21,0.8,2.6
DB07,MDL19,0.72,2.6
DB07,MDR19,0.72,2.6
DD01,MDL08,0.16,4.25
DD01,MDR08,0.18,4.25
DD01,MDL07,0.21,4.25
DD01,MDR07,0.21,4.25
DD01,MDL10,0.25,4.25
DD01,MDR10,0.25,4.25
DD01,MDL09,0.29,4.25
DD01,MDR09,0.29,4.25
DD02,MDL09,0.29,4.666666667
DD02,MDR09,0.29,4.666666667
DD02,MDL12,0.33,4.666666667
DD02,MDR12,0.33,4.666666667
DD02,MDL11,0.38,4.666666667
DD02,MDR11,0.38,4.666666667
DD03,MDL11,0.38,5.333333333
DD03,MDR11,0.38,5.333333333
DD03,MDL14,0.42,5.333333333
DD03,MDR14,0.42,5.333333333
DD03,MDL13,0.47,5.333333333
DD03,MDR13,0.47,5.333333333
DD04,MDL13,0.47,4.7
DD04,MDR13,0.47,4.7
DD04,MDL16,0.51,4.7
DD04,MDR16,0.51,4.7
DD04,MDL15,0.55,4.7
DD04,MDR15,0.55,4.7
DD05,MDL18,0.6,4.7
DD05,MDR18,0.6,4.7
DD05,MDL17,0.64,4.7
DD05,MDR17,0.64,4.7
DD05,MDL20,0.68,4.7
DD05,MDR20,0.68,4.7
DD06,MDL22,0.79,4.7
DD06,MDR22,0.79,4.7
DD06,MDL21,0.8,4.7
DD06,MDR21,0.8,4.7
DD06,MDL19,0.72,4.7
DD06,MDR19,0.72,4.7
DVB,MANAL,0.81,5
HSNL,MVULVA,0.54,7
HSNR,MVULVA,0.54,6
IL1DL,MDL02,0.05,1.666666667
IL1DL,MDL01,0.06,1.666666667
IL1DL,MDL04,0.07,1.666666667
IL1DR,MDR02,0.05,3.5
IL1DR,MDR01,0.06,3.5
IL1L,MDL01,0.06,2.6
IL1L,MDL03,0.1,2.6
IL1L,MDL05,0.15,2.6
IL1L,MVL01,0.06,2.6
IL1L,MVL03,0.1,2.6
IL1R,MDR01,0.06,3.25
IL1R,MDR03,0.1,3.25
IL1R,MVR01,0.06,3.25
IL1R,MVR03,0.1,3.25
IL1VL,MVL02,0.05,4.5
IL1VL,MVL01,0.06,4.5
IL1VR,MVR02,0.05,5
IL1VR,MVR01,0.06,5
PDA,MDL21,0.8,2
PDB,MVL22,0.81,1
PDB,MVR21,0.81,1
PVNL,MVL09,0.27,3
PVNR,MVL12,0.29,1.5
PVNR,MVL13,0.44,1.5
RID,MDL14,0.42,1.5
RID,MDL21,0.8,1.5
RIML,MDR05,0.15,2
RIML,MVR05,0.14,2
RIMR,MDL05,0.15,1
RIMR,MDL07,0.21,1
RIMR,MVL05,0.15,1
RIMR,MVL07,0.2,1
RIVL,MVR06,0.12,1.333333333
RIVL,MVR05,0.14,1.333333333
RIVL,MVR08,0.17,1.333333333
RIVR,MVR04,0.08,1
RIVR,MVR06,0.12,1
RIVR,MVL06,0.12,1
RIVR,MVL05,0.15,1
RIVR,MVL08,0.18,1
RMDDL,MDR02,0.05,1.333333333
RMDDL,MDR01,0.06,1.333333333
RMDDL,MDR04,0.07,1.333333333
RMDDL,MDR03,0.1,1.333333333
RMDDL,MDR08,0.18,1.333333333
RMDDL,MVR01,0.06,1.333333333
RMDDR,MDL02,0.05,1.428571429
RMDDR,MDL01,0.06,1.428571429
RMDDR,MDR04,0.07,1.428571429
RMDDR,MDL04,0.07,1.428571429
RMDDR,MDL03,0.1,1.428571429
RMDDR,MVR02,0.05,1.428571429
RMDDR,MVR01,0.06,1.428571429
RMDL,MDR01,0.06,1.222222222
RMDL,MDR03,0.1,1.222222222
RMDL,MDL03,0.1,1.222222222
RMDL,MDL05,0.15,1.222222222
RMDL,MVR01,0.06,1.222222222
RMDL,MVL01,0.06,1.222222222
RMDL,MVR03,0.1,1.222222222
RMDL,MVR05,0.14,1.222222222
RMDL,MVR07,0.2,1.222222222
RMDR,MDL03,0.1,0.8
RMDR,MDL05,0.15,0.8
RMDR,MDR05,0.15,0.8
RMDR,MVL03,0.1,0.8
RMDR,MVL05,0.15,0.8
RMDVL,MDR01,0.06,1
RMDVL,MVR02,0.05,1
RMDVL,MVR01,0.06,1
RMDVL,MVL04,0.08,1
RMDVL,MVR04,0.08,1
RMDVL,MVR03,0.1,1
RMDVL,MVR06,0.12,1
RMDVL,MVR05,0.14,1
RMDVL,MVR08,0.17,1
RMDVR,MDL01,0.06,0.818181818
RMDVR,MVL02,0.05,0.818181818
RMDVR,MVL01,0.06,0.818181818
RMDVR,MVL04,0.08,0.818181818
RMDVR,MVR04,0.08,0.818181818
RMDVR,MVL03,0.1,0.818181818
RMDVR,MVR06,0.12,0.818181818
RMDVR,MVL06,0.12,0.818181818
RMDVR,MVL05,0.15,0.818181818
RMDVR,MVR08,0.17,0.818181818
RMDVR,MVL08,0.18,0.818181818
RMED,MVL02,0.05,2
RMED,MVR02,0.05,2
RMED,MVL04,0.08,2
RMED,MVR04,0.08,2
RMED,MVL06,0.12,2
RMEL,MDR01,0.06,3
RMEL,MDR03,0.1,3
RMEL,MVR01,0.06,3
RMEL,MVR03,0.1,3
RMER,MDL01,0.06,5
RMER,MDL03,0.1,5
RMER,MVL01,0.06,5
RMEV,MDR02,0.05,1
RMEV,MDL02,0.05,1
RMEV,MDR04,0.07,1
RMEV,MDL04,0.07,1
RMEV,MDL06,0.12,1
RMFL,MDR03,0.1,1
RMFL,MVR01,0.06,1
RMFL,MVR03,0.1,1
RMGL,MDL05,0.15,2
RMGL,MVL05,0.15,2
RMGR,MDR05,0.15,1
RMGR,MVR05,0.14,1
RMGR,MVR07,0.2,1
RMHL,MDR01,0.06,2.666666667
RMHL,MDR03,0.1,2.666666667
RMHL,MVR01,0.06,2.666666667
RMHR,MDL01,0.06,1.75
RMHR,MDL03,0.1,1.75
RMHR,MDL05,0.15,1.75
RMHR,MVL01,0.06,1.75
SMBDL,MDR02,0.05,1.6
SMBDL,MDR01,0.06,1.6
SMBDL,MDR04,0.07,1.6
SMBDL,MDR03,0.1,1.6
SMBDL,MDR06,0.12,1.6
SMBDR,MDL02,0.05,1.666666667
SMBDR,MDR04,0.07,1.666666667
SMBDR,MDL04,0.07,1.666666667
SMBDR,MDL03,0.1,1.666666667
SMBDR,MDL06,0.12,1.666666667
SMBDR,MDR08,0.18,1.666666667
SMBVL,MVL02,0.05,0.857142857
SMBVL,MVL01,0.06,0.857142857
SMBVL,MVL04,0.08,0.857142857
SMBVL,MVL03,0.1,0.857142857
SMBVL,MVL06,0.12,0.857142857
SMBVL,MVL05,0.15,0.857142857
SMBVL,MVL08,0.18,0.857142857
SMBVR,MVR02,0.05,1
SMBVR,MVR01,0.06,1
SMBVR,MVR04,0.08,1
SMBVR,MVR03,0.1,1
SMBVR,MVR06,0.12,1
SMBVR,MVR07,0.2,1
SMDDL,MDR02,0.05,0.454545455
SMDDL,MDR04,0.07,0.454545455
SMDDL,MDL04,0.07,0.454545455
SMDDL,MDR03,0.1,0.454545455
SMDDL,MDR06,0.12,0.454545455
